id,name,weight,height,image,base_hp,base_attack,base_defense,base_special_defense,base_speed,base_special_attack,base_stat_total
191,sunkern,18,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png,30,30,30,30,30,30,180
192,sunflora,85,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png,75,75,55,85,30,105,425
193,yanma,380,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/193.png,65,65,45,45,95,75,390
194,wooper,85,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/194.png,55,45,45,25,15,25,210
195,quagsire,750,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/195.png,95,85,85,65,35,65,430
196,espeon,265,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png,65,65,60,95,110,130,525
197,umbreon,270,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png,95,65,110,130,65,60,525
198,murkrow,21,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png,60,85,42,42,91,85,405
199,slowking,795,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png,95,75,80,110,30,100,490
200,misdreavus,10,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/200.png,60,60,60,85,85,85,435
201,unown,50,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/201.png,48,72,48,48,48,72,336
202,wobbuffet,285,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/202.png,190,33,58,58,33,33,405
203,girafarig,415,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/203.png,70,80,65,65,85,90,455
204,pineco,72,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/204.png,50,65,90,35,15,35,290
205,forretress,1258,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/205.png,75,90,140,60,40,60,465
206,dunsparce,140,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/206.png,100,70,70,65,45,65,415
207,gligar,648,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/207.png,65,75,105,65,85,35,430
208,steelix,4000,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/208.png,75,85,200,65,30,55,510
209,snubbull,78,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png,60,80,50,40,30,40,300
210,granbull,487,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png,90,120,75,60,45,60,450
211,qwilfish,39,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/211.png,65,95,85,55,85,55,440
212,scizor,1180,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png,70,130,100,80,65,55,500
213,shuckle,205,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/213.png,20,10,230,230,5,10,505
214,heracross,540,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/214.png,80,125,75,95,85,40,500
215,sneasel,280,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png,55,95,55,75,115,35,430
216,teddiursa,88,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/216.png,60,80,50,50,40,50,330
217,ursaring,1258,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/217.png,90,130,75,75,55,75,500
218,slugma,350,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png,40,40,40,40,20,70,250
219,magcargo,550,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png,60,50,120,80,30,90,430
220,swinub,65,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png,50,50,40,30,50,30,250
221,piloswine,558,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png,100,100,80,60,50,60,450
222,corsola,50,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/222.png,65,55,95,95,35,65,410
223,remoraid,120,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/223.png,35,65,35,35,65,65,300
224,octillery,285,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/224.png,75,105,75,75,45,105,480
225,delibird,160,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png,45,55,45,45,75,65,330
226,mantine,2200,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/226.png,85,40,70,140,70,80,485
227,skarmory,505,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/227.png,65,80,140,70,70,40,465
228,houndour,108,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png,45,60,30,50,65,80,330
229,houndoom,350,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png,75,90,50,80,95,110,500
230,kingdra,1520,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/230.png,75,95,95,95,85,95,540
231,phanpy,335,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/231.png,90,60,60,40,40,40,330
232,donphan,1200,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/232.png,90,120,120,60,50,60,500
233,porygon2,325,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/233.png,85,80,90,95,60,105,515
234,stantler,712,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/234.png,73,95,62,65,85,85,465
235,smeargle,580,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/235.png,55,20,35,45,75,20,250
236,tyrogue,210,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/236.png,35,35,35,35,35,35,210
237,hitmontop,480,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/237.png,50,95,95,110,70,35,455
238,smoochum,60,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png,45,30,15,65,65,85,305
239,elekid,235,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/239.png,45,63,37,55,95,65,360
240,magby,214,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png,45,75,37,55,83,70,365
241,miltank,755,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/241.png,95,80,105,70,100,40,490
242,blissey,468,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/242.png,255,10,10,135,55,75,540
243,raikou,1780,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/243.png,90,85,75,100,115,115,580
244,entei,1980,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/244.png,115,115,85,75,100,90,580
245,suicune,1870,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/245.png,100,75,115,115,85,90,580
246,larvitar,720,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/246.png,50,64,50,50,41,45,300
247,pupitar,1520,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/247.png,70,84,70,70,51,65,410
248,tyranitar,2020,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/248.png,100,134,110,100,61,95,600
249,lugia,2160,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/249.png,106,90,130,154,110,90,680
250,ho-oh,1990,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png,106,130,90,154,90,110,680
251,celebi,50,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/251.png,100,100,100,100,100,100,600
252,treecko,50,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/252.png,40,45,35,55,70,65,310
253,grovyle,216,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/253.png,50,65,45,65,95,85,405
254,sceptile,522,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/254.png,70,85,65,85,120,105,530
255,torchic,25,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png,45,60,40,50,45,70,310
256,combusken,195,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png,60,85,60,60,55,85,405
257,blaziken,520,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png,80,120,70,70,80,110,530
258,mudkip,76,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png,50,70,50,50,40,50,310
259,marshtomp,280,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png,70,85,70,70,50,60,405
260,swampert,819,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png,100,110,90,90,60,85,535
261,poochyena,136,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png,35,55,35,30,35,30,220
262,mightyena,370,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png,70,90,70,60,70,60,420
263,zigzagoon,175,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/263.png,38,30,41,41,60,30,240
264,linoone,325,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png,78,70,61,61,100,50,420
265,wurmple,36,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png,45,45,35,30,20,20,195
266,silcoon,100,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png,50,35,55,25,15,25,205
267,beautifly,284,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png,60,70,50,50,65,100,395
268,cascoon,115,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,50,35,55,25,15,25,205
269,dustox,316,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,60,50,70,90,65,50,385
270,lotad,26,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,40,30,30,50,30,40,220
271,lombre,325,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,60,50,50,70,50,60,340
272,ludicolo,550,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,80,70,70,100,70,90,480
273,seedot,40,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,40,40,50,30,30,30,220
274,nuzleaf,280,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,70,70,40,40,60,60,340
275,shiftry,596,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,90,100,60,60,80,90,480
276,taillow,23,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,40,55,30,30,85,30,270
277,swellow,198,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,60,85,60,50,125,75,455
278,wingull,95,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,40,30,30,30,85,55,270
279,pelipper,280,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,60,50,100,70,65,95,440
280,ralts,66,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,28,25,25,35,40,45,198
281,kirlia,202,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,38,35,35,55,50,65,278
282,gardevoir,484,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,68,65,65,115,80,125,518
283,surskit,17,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,40,30,32,52,65,50,269
284,masquerain,36,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,70,60,62,82,80,100,454
285,shroomish,45,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,60,40,60,60,35,40,295
286,breloom,392,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,60,130,80,60,70,60,460
287,slakoth,240,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,60,60,60,35,30,35,280
288,vigoroth,465,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,80,80,80,55,90,55,440
289,slaking,1305,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,150,160,100,65,100,95,670
290,nincada,55,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,31,45,90,30,40,30,266
291,ninjask,120,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,61,90,45,50,160,50,456
292,shedinja,12,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,1,90,45,30,40,30,236
293,whismur,163,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,64,51,23,23,28,51,240
294,loudred,405,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,84,71,43,43,48,71,360
295,exploud,840,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,104,91,63,73,68,91,490
296,makuhita,864,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,72,60,30,30,25,20,237
297,hariyama,2538,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,144,120,60,60,50,40,474
298,azurill,20,2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,50,20,40,40,20,20,190
299,nosepass,970,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,30,45,135,90,30,45,375
300,skitty,110,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,50,45,45,35,50,35,260
301,delcatty,326,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,70,65,65,55,90,55,400
302,sableye,110,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,50,75,75,65,50,65,380
303,mawile,115,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,50,85,85,55,50,55,380
304,aron,600,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,50,70,100,40,30,40,330
305,lairon,1200,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,60,90,140,50,40,50,430
306,aggron,3600,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,70,110,180,60,50,60,530
307,meditite,112,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,30,40,55,55,60,40,280
308,medicham,315,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,60,60,75,75,80,60,410
309,electrike,152,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,40,45,40,40,65,65,295
310,manectric,402,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,70,75,60,60,105,105,475
311,plusle,42,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png,60,50,40,75,95,85,405
312,minun,42,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png,60,40,50,85,95,75,405
313,volbeat,177,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png,65,73,75,85,85,47,430
314,illumise,177,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png,65,47,75,85,85,73,430
315,roselia,20,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png,50,60,45,80,65,100,400
316,gulpin,103,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png,70,43,53,53,40,43,302
317,swalot,800,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png,100,73,83,83,55,73,467
318,carvanha,208,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png,45,90,20,20,65,65,305
319,sharpedo,888,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png,70,120,40,40,95,95,460
320,wailmer,1300,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png,130,70,35,35,60,70,400
321,wailord,3980,145,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png,170,90,45,45,60,90,500
322,numel,240,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png,60,60,40,45,35,65,305
323,camerupt,2200,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png,70,100,70,75,40,105,460
324,torkoal,804,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png,70,85,140,70,20,85,470
325,spoink,306,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png,60,25,35,80,60,70,330
326,grumpig,715,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png,80,45,65,110,80,90,470
327,spinda,50,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png,60,60,60,60,60,60,360
328,trapinch,150,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png,45,100,45,45,10,45,290
329,vibrava,153,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png,50,70,50,50,70,50,340
330,flygon,820,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png,80,100,80,80,100,80,520
331,cacnea,513,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png,50,85,40,40,35,85,335
332,cacturne,774,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png,70,115,60,60,55,115,475
333,swablu,12,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png,45,40,60,75,50,40,310
334,altaria,206,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png,75,70,90,105,80,70,490
335,zangoose,403,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png,73,115,60,60,90,60,458
336,seviper,525,27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png,73,100,60,60,65,100,458
337,lunatone,1680,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png,90,55,65,85,70,95,460
338,solrock,1540,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png,90,95,85,65,70,55,460
339,barboach,19,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png,50,48,43,41,60,46,288
340,whiscash,236,9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png,110,78,73,71,60,76,468
341,corphish,115,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png,43,80,65,35,35,50,308
342,crawdaunt,328,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png,63,120,85,55,55,90,468
343,baltoy,215,5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png,40,40,55,70,55,40,300
344,claydol,1080,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png,60,70,105,120,75,70,500
345,lileep,238,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png,66,41,77,87,23,61,355
346,cradily,604,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png,86,81,97,107,43,81,495
347,anorith,125,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png,45,95,50,50,75,40,355
348,armaldo,682,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png,75,125,100,80,45,70,495
349,feebas,74,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png,20,15,20,55,80,10,200
350,milotic,1620,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png,95,60,79,125,81,100,540
351,castform,8,3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png,70,70,70,70,70,70,420
352,kecleon,220,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png,60,90,70,120,40,60,440
353,shuppet,23,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png,44,75,35,33,45,63,295
354,banette,125,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png,64,115,65,63,65,83,455
355,duskull,150,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png,20,40,90,90,25,30,295
356,dusclops,306,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png,40,70,130,130,25,60,455
357,tropius,1000,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png,99,68,83,87,51,72,460
358,chimecho,10,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png,75,50,80,90,65,95,455
359,absol,470,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png,65,130,60,60,75,75,465
360,wynaut,140,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png,95,23,48,48,23,23,260
361,snorunt,168,7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png,50,50,50,50,50,50,300
362,glalie,2565,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png,80,80,80,80,80,80,480
363,spheal,395,8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png,70,40,50,50,25,55,290
364,sealeo,876,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png,90,60,70,70,45,75,410
365,walrein,1506,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png,110,80,90,90,65,95,530
366,clamperl,525,4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png,35,64,85,55,32,74,345
367,huntail,270,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png,55,104,105,75,52,94,485
368,gorebyss,226,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png,55,84,105,75,52,114,485
369,relicanth,234,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png,100,90,130,65,55,45,485
370,luvdisc,87,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png,43,30,55,65,97,40,330
371,bagon,421,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png,45,75,60,30,50,40,300
372,shelgon,1105,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png,65,95,100,50,50,60,420
373,salamence,1026,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png,95,135,80,80,100,110,600
374,beldum,952,6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png,40,55,80,60,30,35,300
375,metang,2025,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png,60,75,100,80,50,55,420
376,metagross,5500,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png,80,135,130,90,70,95,600
377,regirock,2300,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/377.png,80,100,200,100,50,50,580
378,regice,1750,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png,80,50,100,200,50,100,580
379,registeel,2050,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/379.png,80,75,150,150,50,75,580
380,latias,400,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/380.png,80,80,90,130,110,110,600
381,latios,600,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/381.png,80,90,80,110,110,130,600
